Number,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer
1,"Which of the following is the best action to take if you receive an email requesting sensitive government data from an unknown sender?","Reply asking for more details","Forward the email to colleagues to check if they recognize it","Verify the request through official channels and report the email if suspicious","Download any attachments to inspect them","C"
2,"In cybersecurity, what is the main purpose for using the 'least privilege' principle?","To give employees access to all systems in case of any emergencies","To limit users to only the systems and data they need to perform their daily job","To allow managers unrestricted access to employee accounts","To make it easier to share passwords between different departments","B"
3,"What is the most secure password practice?","Reusing the same password across multiple IT systems","Writing passwords on a sticky note which is attached to your monitor","Using a strong, unique password and enabling multi-factor authentication (MFA)","Sharing passwords with colleagues that you trust","C"
4,"What is the reason for classifying data within the public sector?","It helps determine how information should be handled and protected", "Documents become easier to print", "It reduces the need for cybersecurity controls", "It allows all employees to access sensitive information","A"
5,"What should you do if you find out that you've got access to information that is not required for your role?","Continue using that information if it might be useful","Share the information with team members","Report the issue through appropriate organisational processes","Download a copy before access is revoked","C"
6,"What is the purpose of the clear desk policy?","To improve office aesthetics","To reduce the risk of official sensitive information being viewed by unauthorised individuals","To create more workspace for employees","To reduce printing costs","B"
7,"What should you do before using a USB device on a work device?","Use any USB given by a colleague","Ensure the device is approved and complies with organisational policy","Disable antivirus","Copy all files from the device immediately","B"
8,"Why is timely reporting of security incidents important?","It helps minimalise potential damage and also enables faster security response","It reduces the number of security policies that employees must follow","It guarantees that no data is exposed","It removes the need for training new employees","A"
9,"Which practice is best for protecting sensitive information when working remotely?","Using public Wi-Fi without security measures","Discussing sensitive information in public places","Locking your device when unattended and following all remote-working policies","Storing work files on personal devices","C"
10,"Before sharing sensitive information, what should be verified?","If the recipient requested it verbally","If the information is interesting to the recipient","That the recipient works in the same organisation","That the recipient has a legitimate business need and appropriate authorisation","D"
